column,n,mean,std,min,Q1,median,Q3,max,IQR,iqr_lo_bound,iqr_hi_bound,n_outlier_lo,n_outlier_hi,n_outlier_total,pct_outlier
ASR__mean,527,-21.8872,246.4057,-3588.1304,-14.7681,-2.3688,9.6253,860.9811,24.3934,-51.3582,46.2154,35,22,57,10.82
AS__mean,527,27.7525,158.1332,-29.5417,6.0621,9.487,17.0814,3022.9907,11.0193,-10.4669,33.6104,3,43,46,8.73
ASR__peak,527,656.9316,2139.1235,53.6193,249.3637,342.0114,543.133,38412.9453,293.7693,-191.2902,983.7869,0,43,43,8.16
GCSR__mean,527,-0.5518,11.4823,-45.054,-5.9658,-0.5663,4.7419,60.346,10.7077,-22.0272,20.8034,17,19,36,6.83
LASr__mean,527,10.0234,6.6565,0.0,5.5938,8.3692,12.2976,54.1849,6.7039,-4.4621,22.3534,0,33,33,6.26
GCS__mean,527,4.6917,3.9317,-11.2056,2.5505,3.8857,6.1964,33.7706,3.6459,-2.9183,11.6652,7,24,31,5.88
LASrR__peak,527,137.5197,82.1236,8.8857,85.0889,115.0942,164.8471,709.5391,79.7582,-34.5484,284.4844,0,30,30,5.69
LSR__mean,527,-0.1567,12.1103,-58.667,-6.5749,-0.4935,5.3565,50.3766,11.9314,-24.472,23.2535,12,18,30,5.69
LASct__mean,520,6.9264,5.8095,-7.6784,3.3525,5.799,8.5682,57.1491,5.2157,-4.471,16.3916,2,27,29,5.58
GCS__peak,527,13.9462,8.1051,1.027,8.4933,11.7646,17.0426,67.9563,8.5493,-4.3307,29.8667,0,28,28,5.31
GCS__range,527,17.8285,9.3059,4.752,11.3723,15.6832,21.6567,81.2504,10.2843,-4.0542,37.0832,0,26,26,4.93
LS__mean,527,4.5619,4.105,-12.2818,2.1832,3.7566,6.1737,26.4225,3.9905,-3.8025,12.1595,5,21,26,4.93
GCSR__peak,527,167.9681,95.2888,23.4442,104.4433,141.8766,204.695,776.0284,100.2517,-45.9343,355.0726,0,25,25,4.74
LASrR__mean,527,21.9371,32.3896,-187.1971,3.6275,19.5084,36.321,173.5338,32.6935,-45.4128,85.3613,5,18,23,4.36
LSR__peak,527,171.1345,89.0876,37.3906,114.0042,145.1033,209.0797,709.5391,95.0755,-28.609,351.6929,0,21,21,3.98
