column,n_total,n_missing,pct_missing,dtype,is_binary,decision,note
TGAR__fill_peak,527,5,0.95,float64,False,KEEP_NA,0.9% 缺失，影像参数保留 NaN，不做数值填补
TGAR__empty_mean,527,1,0.19,float64,False,KEEP_NA,0.2% 缺失，影像参数保留 NaN，不做数值填补
4CH_circularity_rate__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
Longitudinal_stretching_rate__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
LASr__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
LSR__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
LSR__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
LSR__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
LSR__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
LS__empty_drop,527,0,0.0,float64,False,KEEP,无缺失
LS__empty_mean_drop,527,0,0.0,float64,False,KEEP,无缺失
LS__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
LS__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
Longitudinal_stretching_rate__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
Longitudinal_stretching_rate__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
Longitudinal_stretching_rate__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
LASrR__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
MAT_area__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
MAT_area__empty_min,527,0,0.0,float64,False,KEEP,无缺失
MAT_area__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
MAT_area__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
Sphericity_index_rate__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
Sphericity_index_rate__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
Sphericity_index_rate__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
Sphericity_index_rate__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
TGAR__empty_min,527,0,0.0,float64,False,KEEP,无缺失
TGAR__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
LASrR__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
LASct-proxy__empty_drop,527,0,0.0,float64,False,KEEP,无缺失
4CH_circularity_rate__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
GCS__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
4CH_circularity_rate__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
4CH_circularity_rate__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
4CH_ellipticity_rate__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
4CH_ellipticity_rate__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
4CH_ellipticity_rate__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
4CH_ellipticity_rate__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
ASR__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
ASR__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
ASR__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
ASR__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
AS__empty_drop,527,0,0.0,float64,False,KEEP,无缺失
AS__empty_mean_drop,527,0,0.0,float64,False,KEEP,无缺失
AS__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
AS__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
Annular_expansion_rate__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
Annular_expansion_rate__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
Annular_expansion_rate__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
Annular_expansion_rate__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
GCSR__empty_mean,527,0,0.0,float64,False,KEEP,无缺失
GCSR__empty_trough,527,0,0.0,float64,False,KEEP,无缺失
GCSR__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
GCSR__fill_peak,527,0,0.0,float64,False,KEEP,无缺失
GCS__empty_drop,527,0,0.0,float64,False,KEEP,无缺失
GCS__empty_mean_drop,527,0,0.0,float64,False,KEEP,无缺失
GCS__fill_mean,527,0,0.0,float64,False,KEEP,无缺失
Time_to_peak_LASrR__from_LAVmin,527,0,0.0,float64,False,KEEP,无缺失
